label_type	pref_label	label
cell	cortex derived primary cultured neurospheres	cortex derived primary cultured neurospheres
cell	cutll1	cutll1
cell	cwru1	cwru1
cell	cwru1	ips_cwru1
cell	cyt49	cyt49
cell	d341med	d341med
cell	d721med	d721
cell	d721med	d-721
cell	d721med	d721med
cell	d721med	d-721med
cell	d721med	d-721 med
cell	daoy	daoy
cell	daoy	htb186
cell	dedifferentiated amniotic fluid mesenchymal stem cell	dedifferentiated amniotic fluid mesenchymal stem cell
cell	dermis blood vessel endothelial cell	dermis blood vessel endothelial cell
cell	dermis microvascular lymphatic vessel endothelial cell	dermis microvascular lymphatic vessel endothelial cell
cell	dko1	dko1
cell	dl23	dl23
cell	dld1	dld1
cell	dld1	dld-1
cell	dld-1	dld-1
cell	dnd-41	acc525
cell	dnd-41	dnd-41
cell	dnd41 tcell leukemia cell line	dnd41 tcell leukemia cell line
cell	dohh2	dohh2
cell	du145	du145
cell	du 145	du145
cell	du 145	du 145
cell	du 145	du-145
cell	ecto neural progenitor cell	ecto neural progenitor cell
cell	eec16	eec16
cell	eh	bj-eh, bj eh
cell	eh	eh
cell	ej	ej
cell	ej cell	ej
cell	ej cell	ej cell
cell	el	bj-el, bj el
cell	el	el
cell	elf1	elf1
cell	elf-1	elf1
cell	elf-1	elf-1
cell	elf-1	elf-1 cell
cell	elr	bj-elr, bj elr
cell	elr	elr
cell	embryonic stem cell	embryonic stem cell
cell	embryonic stem cell	embryonic stem cells
cell	embryonic stem cell	esc
cell	embryonic stem cell	lis2
cell	embryonic stem cell	wa-7
cell	embryonic stem cell	wibr2
cell	endodermal cell	endodermal cell
cell	endodermal cell	endoderm cell
cell	endothelial cell derived cell line	endothelial cell derived cell line
cell	endothelial cell derived cell line	hesc derived cd184+ endoderm cultured cells
cell	endothelial cell of umbilical vein	endothelial cell of umbilical vein
cell	epidermal melanocyte	epidermal melanocyte
cell	epithelial cell derived cell line	bicr
cell	epithelial cell derived cell line	epithelial cell derived cell line
cell	epithelial cell line	21nt
cell	epithelial cell line	epithelial cell line
cell	epithelial cell line	ft246
cell	epithelial cell line	h3396
cell	epithelial cell line	islk-219
cell	epithelial cell of amnion	amniotic epithelial cell
cell	epithelial cell of amnion	epithelial cell of amnion
cell	epithelial cell of esophagus	epithelial cell of esophagus
cell	epithelial cell of prostate	epithelial cell of prostate
cell	epithelial cell of prostate	prostate epithelial cell
cell	epithelial cell of proximal tubule	epithelial cell of proximal tubule
cell	epithelial cell of proximal tubule	kidney proximal tubule epithelial cell
cell	erythroblast	erythroblast
cell	erythroblast	normoblast
cell	es-cj7	cj7 cell
cell	es-cj7	es-cj7
